Entity,Code,Year,Old-age dependency ratio
Afghanistan,AFG,2023,4.370692
Albania,ALB,2023,24.446985
Algeria,DZA,2023,10.1232195
American Samoa,ASM,2023,11.641994
Andorra,AND,2023,21.30046
Angola,AGO,2023,5.342691
Anguilla,AIA,2023,17.280926
Antigua and Barbuda,ATG,2023,15.924902
Argentina,ARG,2023,18.573557
Armenia,ARM,2023,19.643763
Aruba,ABW,2023,24.64063
Australia,AUS,2023,26.8831
Austria,AUT,2023,30.73231
Azerbaijan,AZE,2023,11.501091
Bahamas,BHS,2023,16.354866
Bahrain,BHR,2023,4.700133
Bangladesh,BGD,2023,9.675464
Barbados,BRB,2023,24.22919
Belarus,BLR,2023,25.745773
Belgium,BEL,2023,31.654547
Belize,BLZ,2023,7.1051335
Benin,BEN,2023,5.606263
Bermuda,BMU,2023,32.045784
Bhutan,BTN,2023,8.823322
Bolivia,BOL,2023,8.627561
Bonaire Sint Eustatius and Saba,BES,2023,20.127169
Bosnia and Herzegovina,BIH,2023,33.189537
Botswana,BWA,2023,6.224666
Brazil,BRA,2023,15.310751
British Virgin Islands,VGB,2023,12.187765
Brunei,BRN,2023,8.98518
Bulgaria,BGR,2023,34.304073
Burkina Faso,BFA,2023,4.766848
Burundi,BDI,2023,4.815837
Cambodia,KHM,2023,9.324315
Cameroon,CMR,2023,5.0025544
Canada,CAN,2023,29.576546
Cape Verde,CPV,2023,9.812975
Cayman Islands,CYM,2023,11.374192
Central African Republic,CAF,2023,4.298979
Chad,TCD,2023,4.052066
Chile,CHL,2023,19.830235
China,CHN,2023,20.715618
Colombia,COL,2023,13.383401
Comoros,COM,2023,7.695856
Congo,COG,2023,5.1859226
Cook Islands,COK,2023,20.698986
Costa Rica,CRI,2023,16.97777
Cote d'Ivoire,CIV,2023,4.5719395
Croatia,HRV,2023,36.16123
Cuba,CUB,2023,23.680435
Curacao,CUW,2023,23.775358
Cyprus,CYP,2023,20.555784
Czechia,CZE,2023,32.199486
Democratic Republic of Congo,COD,2023,6.0347595
Denmark,DNK,2023,32.39204
Djibouti,DJI,2023,7.209734
Dominica,DMA,2023,18.441135
Dominican Republic,DOM,2023,11.554975
East Timor,TLS,2023,8.826444
Ecuador,ECU,2023,12.089916
Egypt,EGY,2023,7.939243
El Salvador,SLV,2023,11.976953
Equatorial Guinea,GNQ,2023,6.15139
Eritrea,ERI,2023,7.2607136
Estonia,EST,2023,33.10512
Eswatini,SWZ,2023,6.667982
Ethiopia,ETH,2023,5.518587
Falkland Islands,FLK,2023,16.414944
Faroe Islands,FRO,2023,28.53487
Fiji,FJI,2023,9.571752
Finland,FIN,2023,38.313972
France,FRA,2023,35.311802
French Guiana,GUF,2023,11.045797
French Polynesia,PYF,2023,15.418376
Gabon,GAB,2023,6.81421
Gambia,GMB,2023,5.290152
Georgia,GEO,2023,24.055786
Germany,DEU,2023,35.972492
Ghana,GHA,2023,6.033767
Gibraltar,GIB,2023,26.96291
Greece,GRC,2023,37.26443
Greenland,GRL,2023,14.6698065
Grenada,GRD,2023,17.36025
Guadeloupe,GLP,2023,38.11866
Guam,GUM,2023,19.551712
Guatemala,GTM,2023,7.4997387
Guernsey,GGY,2023,32.965385
Guinea,GIN,2023,6.2204595
Guinea-Bissau,GNB,2023,5.4543185
Guyana,GUY,2023,10.086637
Haiti,HTI,2023,7.2374034
Honduras,HND,2023,6.633411
Hong Kong,HKG,2023,31.810942
Hungary,HUN,2023,32.160297
Iceland,ISL,2023,23.02852
India,IND,2023,10.173086
Indonesia,IDN,2023,10.362277
Iran,IRN,2023,11.431467
Iraq,IRQ,2023,5.7074594
Ireland,IRL,2023,23.725014
Isle of Man,IMN,2023,36.11032
Israel,ISR,2023,20.655157
Italy,ITA,2023,38.002815
Jamaica,JAM,2023,10.768036
Japan,JPN,2023,50.12053
Jersey,JEY,2023,27.868473
Jordan,JOR,2023,6.7059846
Kazakhstan,KAZ,2023,13.364349
Kenya,KEN,2023,4.875848
Kiribati,KIR,2023,6.761156
Kosovo,OWID_KOS,2023,13.964014
Kuwait,KWT,2023,3.763919
Kyrgyzstan,KGZ,2023,8.76728
Laos,LAO,2023,6.986456
Latvia,LVA,2023,33.8569
Lebanon,LBN,2023,15.478027
Lesotho,LSO,2023,6.246217
Liberia,LBR,2023,5.7780304
Libya,LBY,2023,7.2624836
Liechtenstein,LIE,2023,30.794434
Lithuania,LTU,2023,30.410069
Luxembourg,LUX,2023,21.846792
Macao,MAC,2023,18.60363
Madagascar,MDG,2023,5.841431
Malawi,MWI,2023,4.6197143
Malaysia,MYS,2023,10.596843
Maldives,MDV,2023,5.7477074
Mali,MLI,2023,4.7039475
Malta,MLT,2023,29.47845
Marshall Islands,MHL,2023,7.222856
Martinique,MTQ,2023,40.15415
Mauritania,MRT,2023,5.981058
Mauritius,MUS,2023,17.978416
Mayotte,MYT,2023,4.9611335
Mexico,MEX,2023,11.898048
Micronesia (country),FSM,2023,9.2319565
Moldova,MDA,2023,24.235638
Monaco,MCO,2023,70.11033
Mongolia,MNG,2023,7.7804265
Montenegro,MNE,2023,27.187729
Montserrat,MSR,2023,30
Morocco,MAR,2023,11.831672
Mozambique,MOZ,2023,5.2719865
Myanmar,MMR,2023,10.364796
Namibia,NAM,2023,6.0365663
Nauru,NRU,2023,4.6029267
Nepal,NPL,2023,9.796389
Netherlands,NLD,2023,31.145607
New Caledonia,NCL,2023,16.455742
New Zealand,NZL,2023,25.889856
Nicaragua,NIC,2023,8.222568
Niger,NER,2023,5.0948744
Nigeria,NGA,2023,5.4580126
Niue,NIU,2023,26.612904
North Korea,PRK,2023,17.433237
North Macedonia,MKD,2023,26.74321
Northern Mariana Islands,MNP,2023,12.735773
Norway,NOR,2023,28.497911
Oman,OMN,2023,3.6882658
Pakistan,PAK,2023,7.1405497
Palau,PLW,2023,15.421456
Palestine,PSE,2023,6.5751743
Panama,PAN,2023,13.777615
Papua New Guinea,PNG,2023,5.3271713
Paraguay,PRY,2023,9.817227
Peru,PER,2023,13.481281
Philippines,PHL,2023,7.9569736
Poland,POL,2023,29.908493
Portugal,PRT,2023,38.23013
Puerto Rico,PRI,2023,37.90025
Qatar,QAT,2023,1.8880497
Reunion,REU,2023,23.263546
Romania,ROU,2023,30.679722
Russia,RUS,2023,25.19117
Rwanda,RWA,2023,6.5387173
Saint Barthelemy,BLM,2023,27.632336
Saint Helena,SHN,2023,43.997486
Saint Kitts and Nevis,KNA,2023,15.086155
Saint Lucia,LCA,2023,12.769281
Saint Martin (French part),MAF,2023,27.882463
Saint Pierre and Miquelon,SPM,2023,30.146471
Saint Vincent and the Grenadines,VCT,2023,17.313631
Samoa,WSM,2023,10.269359
San Marino,SMR,2023,33.05039
Sao Tome and Principe,STP,2023,6.688728
Saudi Arabia,SAU,2023,3.856921
Senegal,SEN,2023,6.213864
Serbia,SRB,2023,35.26065
Seychelles,SYC,2023,11.645998
Sierra Leone,SLE,2023,5.503796
Singapore,SGP,2023,17.407629
Sint Maarten (Dutch part),SXM,2023,18.96512
Slovakia,SVK,2023,27.32183
Slovenia,SVN,2023,33.431168
Solomon Islands,SLB,2023,6.1454644
Somalia,SOM,2023,5.0525584
South Africa,ZAF,2023,9.6532955
South Korea,KOR,2023,25.912172
South Sudan,SSD,2023,5.0881314
Spain,ESP,2023,31.20693
Sri Lanka,LKA,2023,17.809431
Sudan,SDN,2023,5.7204413
Suriname,SUR,2023,11.466745
Sweden,SWE,2023,32.96824
Switzerland,CHE,2023,29.963114
Syria,SYR,2023,7.2126393
Taiwan,TWN,2023,26.247805
Tajikistan,TJK,2023,6.099094
Tanzania,TZA,2023,5.608926
Thailand,THA,2023,20.943678
Togo,TGO,2023,5.555062
Tokelau,TKL,2023,12.073325
Tonga,TON,2023,11.436135
Trinidad and Tobago,TTO,2023,16.90432
Tunisia,TUN,2023,13.803305
Turkey,TUR,2023,14.669032
Turkmenistan,TKM,2023,6.6692004
Turks and Caicos Islands,TCA,2023,14.966451
Tuvalu,TUV,2023,10.399335
Uganda,UGA,2023,3.9850087
Ukraine,UKR,2023,27.596714
United Arab Emirates,ARE,2023,2.0686865
United Kingdom,GBR,2023,30.326279
United States,USA,2023,26.799246
United States Virgin Islands,VIR,2023,36.31271
Uruguay,URY,2023,24.020798
Uzbekistan,UZB,2023,8.977121
Vanuatu,VUT,2023,7.3786154
Vatican,VAT,2023,91.46342
Venezuela,VEN,2023,14.46761
Vietnam,VNM,2023,12.710798
Wallis and Futuna,WLF,2023,21.76215
Western Sahara,ESH,2023,9.015337
Yemen,YEM,2023,4.4565034
Zambia,ZMB,2023,3.381735
Zimbabwe,ZWE,2023,6.5704026
